Address,USB0::0x2A8D::0x5001::MY58002415::0::INSTR,,,,,,,,,,,,,,,,
Model,DAQ970A,,,,,,,,,,,,,,,,
Serial Number:,MY58002415,,,,,,,,,,,,,,,,
Firmware Version,A.02.01-01.00-02.01-00.02-01.02-03-02,,,,,,,,,,,,,,,,
Start Time,2026-02-03 11:32:10.784,,,,,,,,,,,,,,,,
Stop Time,2026-02-03 11:34:23.342,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,
Modules,5,Slot 0,SCD,Slot 1,DAQM900A,Slot 2,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,
Total Channels,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm
101,RC_DCV,DC Voltage,Auto,5.5,1,0.0002,False,SCAL,1,0,,Off,0,0,None,1,None
,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:00.100,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,
Calibration Date/Time:,12/4/2019 9:24:37 PM,,,,,,,,,,,,,,,,
Calibration Temperature:,32.70 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,
ACAL Date/Time:,12/4/2019 9:10:47 PM,,,,,,,,,,,,,,,,
ACAL Temperature:,33.16 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101Time (Sec),101 (Vdc)- RC_DCV,,,,,,,,,,,,,,
2026-02-03 11:32:10.956,1,2026-02-03 11:32:10.956,0.114742049,,,,,,,,,,,,,,
2026-02-03 11:32:11.045,2,2026-02-03 11:32:11.045,0.114747687,,,,,,,,,,,,,,
2026-02-03 11:32:11.082,3,2026-02-03 11:32:11.082,0.114749987,,,,,,,,,,,,,,
2026-02-03 11:32:11.229,4,2026-02-03 11:32:11.229,0.114760273,,,,,,,,,,,,,,
2026-02-03 11:32:11.293,5,2026-02-03 11:32:11.293,0.114763973,,,,,,,,,,,,,,
2026-02-03 11:32:11.393,6,2026-02-03 11:32:11.393,0.114770977,,,,,,,,,,,,,,
2026-02-03 11:32:11.461,7,2026-02-03 11:32:11.461,0.114775077,,,,,,,,,,,,,,
2026-02-03 11:32:11.561,8,2026-02-03 11:32:11.561,0.114781523,,,,,,,,,,,,,,
2026-02-03 11:32:11.661,9,2026-02-03 11:32:11.661,0.114788911,,,,,,,,,,,,,,
2026-02-03 11:32:11.816,10,2026-02-03 11:32:11.816,0.11479918,,,,,,,,,,,,,,
2026-02-03 11:32:11.861,11,2026-02-03 11:32:11.861,0.11480221,,,,,,,,,,,,,,
2026-02-03 11:32:11.961,12,2026-02-03 11:32:11.961,0.114808144,,,,,,,,,,,,,,
2026-02-03 11:32:12.061,13,2026-02-03 11:32:12.061,0.114814984,,,,,,,,,,,,,,
2026-02-03 11:32:12.161,14,2026-02-03 11:32:12.161,0.11482129,,,,,,,,,,,,,,
2026-02-03 11:32:12.261,15,2026-02-03 11:32:12.261,0.114827889,,,,,,,,,,,,,,
2026-02-03 11:32:12.361,16,2026-02-03 11:32:12.361,0.114834729,,,,,,,,,,,,,,
2026-02-03 11:32:12.461,17,2026-02-03 11:32:12.461,0.11484111,,,,,,,,,,,,,,
2026-02-03 11:32:12.561,18,2026-02-03 11:32:12.561,0.114847985,,,,,,,,,,,,,,
2026-02-03 11:32:12.661,19,2026-02-03 11:32:12.661,0.114854352,,,,,,,,,,,,,,
2026-02-03 11:32:12.781,20,2026-02-03 11:32:12.781,0.114862171,,,,,,,,,,,,,,
2026-02-03 11:32:12.867,21,2026-02-03 11:32:12.867,0.114868125,,,,,,,,,,,,,,
2026-02-03 11:32:12.961,22,2026-02-03 11:32:12.961,0.114874108,,,,,,,,,,,,,,
2026-02-03 11:32:13.061,23,2026-02-03 11:32:13.061,0.114880745,,,,,,,,,,,,,,
2026-02-03 11:32:13.161,24,2026-02-03 11:32:13.161,0.114887284,,,,,,,,,,,,,,
2026-02-03 11:32:13.261,25,2026-02-03 11:32:13.261,0.114894146,,,,,,,,,,,,,,
2026-02-03 11:32:13.392,26,2026-02-03 11:32:13.392,0.114903296,,,,,,,,,,,,,,
2026-02-03 11:32:13.461,27,2026-02-03 11:32:13.461,0.114906939,,,,,,,,,,,,,,
2026-02-03 11:32:13.561,28,2026-02-03 11:32:13.561,0.114913306,,,,,,,,,,,,,,
2026-02-03 11:32:13.661,29,2026-02-03 11:32:13.661,0.114920014,,,,,,,,,,,,,,
2026-02-03 11:32:13.761,30,2026-02-03 11:32:13.761,0.114926515,,,,,,,,,,,,,,
2026-02-03 11:32:13.914,31,2026-02-03 11:32:13.914,0.114936601,,,,,,,,,,,,,,
2026-02-03 11:32:13.961,32,2026-02-03 11:32:13.961,0.114939773,,,,,,,,,,,,,,
2026-02-03 11:32:14.061,33,2026-02-03 11:32:14.061,0.114946504,,,,,,,,,,,,,,
2026-02-03 11:32:14.161,34,2026-02-03 11:32:14.161,0.11495342,,,,,,,,,,,,,,
2026-02-03 11:32:14.261,35,2026-02-03 11:32:14.261,0.114958867,,,,,,,,,,,,,,
2026-02-03 11:32:14.372,36,2026-02-03 11:32:14.372,0.114966679,,,,,,,,,,,,,,
2026-02-03 11:32:14.461,37,2026-02-03 11:32:14.461,0.114972197,,,,,,,,,,,,,,
2026-02-03 11:32:14.561,38,2026-02-03 11:32:14.561,0.11497879,,,,,,,,,,,,,,
2026-02-03 11:32:14.661,39,2026-02-03 11:32:14.661,0.114985885,,,,,,,,,,,,,,
2026-02-03 11:32:14.761,40,2026-02-03 11:32:14.761,0.114992177,,,,,,,,,,,,,,
2026-02-03 11:32:14.926,41,2026-02-03 11:32:14.926,0.11500303,,,,,,,,,,,,,,
2026-02-03 11:32:14.974,42,2026-02-03 11:32:14.974,0.115006189,,,,,,,,,,,,,,
2026-02-03 11:32:15.065,43,2026-02-03 11:32:15.065,0.11501206,,,,,,,,,,,,,,
2026-02-03 11:32:15.161,44,2026-02-03 11:32:15.161,0.115018711,,,,,,,,,,,,,,
2026-02-03 11:32:15.300,45,2026-02-03 11:32:15.300,0.115027075,,,,,,,,,,,,,,
2026-02-03 11:32:15.361,46,2026-02-03 11:32:15.361,0.115031444,,,,,,,,,,,,,,
2026-02-03 11:32:15.461,47,2026-02-03 11:32:15.461,0.115038366,,,,,,,,,,,,,,
2026-02-03 11:32:15.561,48,2026-02-03 11:32:15.561,0.115044894,,,,,,,,,,,,,,
