Address,USB0::0x2A8D::0x5001::MY58002744::0::INSTR,,,,,,,,,,,,,,,,
Model,DAQ970A,,,,,,,,,,,,,,,,
Serial Number:,MY58002744,,,,,,,,,,,,,,,,
Firmware Version,A.02.01-01.00-02.01-00.02-01.02-03-02,,,,,,,,,,,,,,,,
Start Time,2026-02-05 14:21:38.017,,,,,,,,,,,,,,,,
Stop Time,2026-02-05 14:21:52.359,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,
Modules,5,Slot 0,SCD,Slot 1,DAQM900A,Slot 2,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,
Total Channels,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm
101,Tj,Temp (Type J),None,C,1,0.0006,False,SCAL,1,0,°C,Off,0,0,None,1,None
,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:00.100,,,,,,,,,,,,,,,,
Stop Data Logging,After Elapsed Time: (00:00:00:30),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,
Calibration Date/Time:,1/7/2020 11:19:49 PM,,,,,,,,,,,,,,,,
Calibration Temperature:,32.85 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,
ACAL Date/Time:,1/20/2022 2:10:23 PM,,,,,,,,,,,,,,,,
ACAL Temperature:,30.41 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101Time (Sec),101 (°C)- Tj,,,,,,,,,,,,,,
2026-02-05 14:21:38.050,1,2026-02-05 14:21:38.050,29.8029441,,,,,,,,,,,,,,
2026-02-05 14:21:38.145,2,2026-02-05 14:21:38.145,30.0346523,,,,,,,,,,,,,,
2026-02-05 14:21:38.245,3,2026-02-05 14:21:38.245,30.0329543,,,,,,,,,,,,,,
2026-02-05 14:21:38.345,4,2026-02-05 14:21:38.345,30.0119871,,,,,,,,,,,,,,
2026-02-05 14:21:38.445,5,2026-02-05 14:21:38.445,29.9799398,,,,,,,,,,,,,,
2026-02-05 14:21:38.545,6,2026-02-05 14:21:38.545,29.9812529,,,,,,,,,,,,,,
2026-02-05 14:21:38.645,7,2026-02-05 14:21:38.645,30.0230192,,,,,,,,,,,,,,
2026-02-05 14:21:38.745,8,2026-02-05 14:21:38.745,30.0532408,,,,,,,,,,,,,,
2026-02-05 14:21:38.845,9,2026-02-05 14:21:38.845,30.0757523,,,,,,,,,,,,,,
2026-02-05 14:21:38.945,10,2026-02-05 14:21:38.945,30.1002829,,,,,,,,,,,,,,
2026-02-05 14:21:39.045,11,2026-02-05 14:21:39.045,30.0257086,,,,,,,,,,,,,,
2026-02-05 14:21:39.145,12,2026-02-05 14:21:39.145,29.9626682,,,,,,,,,,,,,,
2026-02-05 14:21:39.301,13,2026-02-05 14:21:39.301,29.772895,,,,,,,,,,,,,,
2026-02-05 14:21:39.345,14,2026-02-05 14:21:39.345,29.7728369,,,,,,,,,,,,,,
2026-02-05 14:21:39.445,15,2026-02-05 14:21:39.445,29.7585218,,,,,,,,,,,,,,
2026-02-05 14:21:39.579,16,2026-02-05 14:21:39.579,29.766671,,,,,,,,,,,,,,
2026-02-05 14:21:39.652,17,2026-02-05 14:21:39.652,29.7567864,,,,,,,,,,,,,,
2026-02-05 14:21:39.745,18,2026-02-05 14:21:39.745,29.775701,,,,,,,,,,,,,,
2026-02-05 14:21:39.845,19,2026-02-05 14:21:39.845,29.7809439,,,,,,,,,,,,,,
2026-02-05 14:21:39.978,20,2026-02-05 14:21:39.978,29.7666763,,,,,,,,,,,,,,
2026-02-05 14:21:40.045,21,2026-02-05 14:21:40.045,29.7594554,,,,,,,,,,,,,,
2026-02-05 14:21:40.145,22,2026-02-05 14:21:40.145,29.7553039,,,,,,,,,,,,,,
2026-02-05 14:21:40.301,23,2026-02-05 14:21:40.301,29.8056859,,,,,,,,,,,,,,
2026-02-05 14:21:40.345,24,2026-02-05 14:21:40.345,29.7577249,,,,,,,,,,,,,,
2026-02-05 14:21:40.445,25,2026-02-05 14:21:40.445,29.7889396,,,,,,,,,,,,,,
2026-02-05 14:21:40.545,26,2026-02-05 14:21:40.545,29.7527404,,,,,,,,,,,,,,
2026-02-05 14:21:40.645,27,2026-02-05 14:21:40.645,29.7361041,,,,,,,,,,,,,,
2026-02-05 14:21:40.778,28,2026-02-05 14:21:40.778,29.8700159,,,,,,,,,,,,,,
2026-02-05 14:21:40.845,29,2026-02-05 14:21:40.845,29.8246577,,,,,,,,,,,,,,
2026-02-05 14:21:40.945,30,2026-02-05 14:21:40.945,29.7454403,,,,,,,,,,,,,,
2026-02-05 14:21:41.045,31,2026-02-05 14:21:41.045,29.7060801,,,,,,,,,,,,,,
2026-02-05 14:21:41.237,32,2026-02-05 14:21:41.237,29.6415619,,,,,,,,,,,,,,
2026-02-05 14:21:41.274,33,2026-02-05 14:21:41.274,29.6177761,,,,,,,,,,,,,,
2026-02-05 14:21:41.345,34,2026-02-05 14:21:41.345,29.6222126,,,,,,,,,,,,,,
2026-02-05 14:21:41.445,35,2026-02-05 14:21:41.445,29.6200075,,,,,,,,,,,,,,
2026-02-05 14:21:41.545,36,2026-02-05 14:21:41.545,29.6523389,,,,,,,,,,,,,,
2026-02-05 14:21:41.645,37,2026-02-05 14:21:41.645,29.633876,,,,,,,,,,,,,,
2026-02-05 14:21:41.745,38,2026-02-05 14:21:41.745,29.5773092,,,,,,,,,,,,,,
2026-02-05 14:21:41.862,39,2026-02-05 14:21:41.862,29.5365823,,,,,,,,,,,,,,
2026-02-05 14:21:41.945,40,2026-02-05 14:21:41.945,32.5984888,,,,,,,,,,,,,,
2026-02-05 14:21:42.045,41,2026-02-05 14:21:42.045,38.654477,,,,,,,,,,,,,,
2026-02-05 14:21:42.145,42,2026-02-05 14:21:42.145,39.5790272,,,,,,,,,,,,,,
2026-02-05 14:21:42.245,43,2026-02-05 14:21:42.245,39.5700637,,,,,,,,,,,,,,
2026-02-05 14:21:42.345,44,2026-02-05 14:21:42.345,39.5962844,,,,,,,,,,,,,,
2026-02-05 14:21:42.445,45,2026-02-05 14:21:42.445,39.6725677,,,,,,,,,,,,,,
2026-02-05 14:21:42.630,46,2026-02-05 14:21:42.630,39.6630816,,,,,,,,,,,,,,
2026-02-05 14:21:42.667,47,2026-02-05 14:21:42.667,39.6570958,,,,,,,,,,,,,,
2026-02-05 14:21:42.745,48,2026-02-05 14:21:42.745,39.6630554,,,,,,,,,,,,,,
