Address,USB0::0x2A8D::0x5001::MY58002415::0::INSTR,,,,,,,,,,,,,,,,
Model,DAQ970A,,,,,,,,,,,,,,,,
Serial Number:,MY58002415,,,,,,,,,,,,,,,,
Firmware Version,A.02.01-01.00-02.01-00.02-01.02-03-02,,,,,,,,,,,,,,,,
Start Time,2026-02-06 11:51:23.393,,,,,,,,,,,,,,,,
Stop Time,2026-02-06 11:53:06.562,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,
Modules,5,Slot 0,SCD,Slot 1,DAQM900A,Slot 2,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,
Total Channels,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm
101,RC_DCV,DC Voltage,Auto,5.5,1,0.0002,False,SCAL,1,0,,Off,0,0,None,1,None
,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:00.100,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,
Calibration Date/Time:,12/4/2019 9:24:37 PM,,,,,,,,,,,,,,,,
Calibration Temperature:,32.70 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,
ACAL Date/Time:,12/4/2019 9:10:47 PM,,,,,,,,,,,,,,,,
ACAL Temperature:,33.16 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101Time (Sec),101 (Vdc)- RC_DCV,,,,,,,,,,,,,,
2026-02-06 11:51:23.634,1,2026-02-06 11:51:23.634,0.0110195309,,,,,,,,,,,,,,
2026-02-06 11:51:23.729,2,2026-02-06 11:51:23.729,0.0111444167,,,,,,,,,,,,,,
2026-02-06 11:51:23.829,3,2026-02-06 11:51:23.829,0.0112752275,,,,,,,,,,,,,,
2026-02-06 11:51:23.929,4,2026-02-06 11:51:23.929,0.011406413,,,,,,,,,,,,,,
2026-02-06 11:51:24.029,5,2026-02-06 11:51:24.029,0.0115370918,,,,,,,,,,,,,,
2026-02-06 11:51:24.149,6,2026-02-06 11:51:24.149,0.0116937217,,,,,,,,,,,,,,
2026-02-06 11:51:24.229,7,2026-02-06 11:51:24.229,0.0117970243,,,,,,,,,,,,,,
2026-02-06 11:51:24.329,8,2026-02-06 11:51:24.329,0.0119262414,,,,,,,,,,,,,,
2026-02-06 11:51:24.429,9,2026-02-06 11:51:24.429,0.012055801,,,,,,,,,,,,,,
2026-02-06 11:51:24.529,10,2026-02-06 11:51:24.529,0.0121841111,,,,,,,,,,,,,,
2026-02-06 11:51:24.676,11,2026-02-06 11:51:24.676,0.0123724686,,,,,,,,,,,,,,
2026-02-06 11:51:24.729,12,2026-02-06 11:51:24.729,0.0124409762,,,,,,,,,,,,,,
2026-02-06 11:51:24.829,13,2026-02-06 11:51:24.829,0.0125685412,,,,,,,,,,,,,,
2026-02-06 11:51:24.995,14,2026-02-06 11:51:24.995,0.0127802324,,,,,,,,,,,,,,
2026-02-06 11:51:25.032,15,2026-02-06 11:51:25.032,0.0128267744,,,,,,,,,,,,,,
2026-02-06 11:51:25.129,16,2026-02-06 11:51:25.129,0.0129494214,,,,,,,,,,,,,,
2026-02-06 11:51:25.229,17,2026-02-06 11:51:25.229,0.0130755853,,,,,,,,,,,,,,
2026-02-06 11:51:25.329,18,2026-02-06 11:51:25.329,0.0132019878,,,,,,,,,,,,,,
2026-02-06 11:51:25.429,19,2026-02-06 11:51:25.429,0.0133272713,,,,,,,,,,,,,,
2026-02-06 11:51:25.630,20,2026-02-06 11:51:25.630,0.0135784069,,,,,,,,,,,,,,
2026-02-06 11:51:25.729,21,2026-02-06 11:51:25.729,0.0137024351,,,,,,,,,,,,,,
2026-02-06 11:51:25.829,22,2026-02-06 11:51:25.829,0.0138267582,,,,,,,,,,,,,,
2026-02-06 11:51:25.929,23,2026-02-06 11:51:25.929,0.0139508666,,,,,,,,,,,,,,
2026-02-06 11:51:26.089,24,2026-02-06 11:51:26.089,0.0141486073,,,,,,,,,,,,,,
2026-02-06 11:51:26.129,25,2026-02-06 11:51:26.129,0.0141975474,,,,,,,,,,,,,,
2026-02-06 11:51:26.229,26,2026-02-06 11:51:26.229,0.0143207449,,,,,,,,,,,,,,
2026-02-06 11:51:26.329,27,2026-02-06 11:51:26.329,0.0144437669,,,,,,,,,,,,,,
2026-02-06 11:51:26.429,28,2026-02-06 11:51:26.429,0.0145657601,,,,,,,,,,,,,,
2026-02-06 11:51:26.621,29,2026-02-06 11:51:26.621,0.0147998064,,,,,,,,,,,,,,
2026-02-06 11:51:26.657,30,2026-02-06 11:51:26.657,0.0148439637,,,,,,,,,,,,,,
2026-02-06 11:51:26.729,31,2026-02-06 11:51:26.729,0.014931108,,,,,,,,,,,,,,
2026-02-06 11:51:26.829,32,2026-02-06 11:51:26.829,0.0150521239,,,,,,,,,,,,,,
2026-02-06 11:51:26.929,33,2026-02-06 11:51:26.929,0.0151734681,,,,,,,,,,,,,,
2026-02-06 11:51:27.086,34,2026-02-06 11:51:27.086,0.0153621697,,,,,,,,,,,,,,
2026-02-06 11:51:27.148,35,2026-02-06 11:51:27.148,0.0154370005,,,,,,,,,,,,,,
2026-02-06 11:51:27.245,36,2026-02-06 11:51:27.245,0.0155533564,,,,,,,,,,,,,,
2026-02-06 11:51:27.329,37,2026-02-06 11:51:27.329,0.0156540479,,,,,,,,,,,,,,
2026-02-06 11:51:27.429,38,2026-02-06 11:51:27.429,0.0157730282,,,,,,,,,,,,,,
2026-02-06 11:51:27.529,39,2026-02-06 11:51:27.529,0.0158917567,,,,,,,,,,,,,,
2026-02-06 11:51:27.642,40,2026-02-06 11:51:27.642,0.0160258431,,,,,,,,,,,,,,
2026-02-06 11:51:27.729,41,2026-02-06 11:51:27.729,0.0161292204,,,,,,,,,,,,,,
2026-02-06 11:51:27.829,42,2026-02-06 11:51:27.829,0.0162477223,,,,,,,,,,,,,,
2026-02-06 11:51:27.929,43,2026-02-06 11:51:27.929,0.0163650553,,,,,,,,,,,,,,
2026-02-06 11:51:28.029,44,2026-02-06 11:51:28.029,0.0164823968,,,,,,,,,,,,,,
2026-02-06 11:51:28.147,45,2026-02-06 11:51:28.147,0.0617734163,,,,,,,,,,,,,,
2026-02-06 11:51:28.229,46,2026-02-06 11:51:28.229,0.0965831976,,,,,,,,,,,,,,
2026-02-06 11:51:28.333,47,2026-02-06 11:51:28.333,0.140021674,,,,,,,,,,,,,,
