Address,USB0::0x2A8D::0x5001::MY58002744::0::INSTR,,,,,,,,,,,,,,,,
Model,DAQ970A,,,,,,,,,,,,,,,,
Serial Number:,MY58002744,,,,,,,,,,,,,,,,
Firmware Version,A.02.01-01.00-02.01-00.02-01.02-03-02,,,,,,,,,,,,,,,,
Start Time,2026-02-13 12:49:33.492,,,,,,,,,,,,,,,,
Stop Time,2026-02-13 12:50:04.636,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,
Modules,5,Slot 0,SCD,Slot 1,DAQM900A,Slot 2,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,
Total Channels,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm
101,Tj,Temp (Type J),None,C,1,0.0006,False,SCAL,1,0,°C,Off,0,0,None,1,None
,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:00.100,,,,,,,,,,,,,,,,
Stop Data Logging,After Elapsed Time: (00:00:00:30),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,
Calibration Date/Time:,1/7/2020 11:19:49 PM,,,,,,,,,,,,,,,,
Calibration Temperature:,32.85 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,
ACAL Date/Time:,1/20/2022 2:10:23 PM,,,,,,,,,,,,,,,,
ACAL Temperature:,30.41 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101Time (Sec),101 (°C)- Tj,,,,,,,,,,,,,,
2026-02-13 12:49:33.557,1,2026-02-13 12:49:33.557,20.2880466,,,,,,,,,,,,,,
2026-02-13 12:49:33.652,2,2026-02-13 12:49:33.652,20.2857331,,,,,,,,,,,,,,
2026-02-13 12:49:33.752,3,2026-02-13 12:49:33.752,20.2809838,,,,,,,,,,,,,,
2026-02-13 12:49:33.852,4,2026-02-13 12:49:33.852,20.2734317,,,,,,,,,,,,,,
2026-02-13 12:49:33.982,5,2026-02-13 12:49:33.982,20.2847758,,,,,,,,,,,,,,
2026-02-13 12:49:34.052,6,2026-02-13 12:49:34.052,20.291796,,,,,,,,,,,,,,
2026-02-13 12:49:34.152,7,2026-02-13 12:49:34.152,20.3391811,,,,,,,,,,,,,,
2026-02-13 12:49:34.252,8,2026-02-13 12:49:34.252,20.3551938,,,,,,,,,,,,,,
2026-02-13 12:49:34.352,9,2026-02-13 12:49:34.352,20.3807944,,,,,,,,,,,,,,
2026-02-13 12:49:34.508,10,2026-02-13 12:49:34.508,20.4157323,,,,,,,,,,,,,,
2026-02-13 12:49:34.552,11,2026-02-13 12:49:34.552,20.4113027,,,,,,,,,,,,,,
2026-02-13 12:49:34.652,12,2026-02-13 12:49:34.652,20.4230282,,,,,,,,,,,,,,
2026-02-13 12:49:34.752,13,2026-02-13 12:49:34.752,20.4018424,,,,,,,,,,,,,,
2026-02-13 12:49:34.852,14,2026-02-13 12:49:34.852,20.4153867,,,,,,,,,,,,,,
2026-02-13 12:49:34.952,15,2026-02-13 12:49:34.952,20.4238578,,,,,,,,,,,,,,
2026-02-13 12:49:35.052,16,2026-02-13 12:49:35.052,20.4152484,,,,,,,,,,,,,,
2026-02-13 12:49:35.152,17,2026-02-13 12:49:35.152,20.4558325,,,,,,,,,,,,,,
2026-02-13 12:49:35.252,18,2026-02-13 12:49:35.252,20.5158818,,,,,,,,,,,,,,
2026-02-13 12:49:35.352,19,2026-02-13 12:49:35.352,20.4769163,,,,,,,,,,,,,,
2026-02-13 12:49:35.452,20,2026-02-13 12:49:35.452,20.5383841,,,,,,,,,,,,,,
2026-02-13 12:49:35.552,21,2026-02-13 12:49:35.552,20.6493418,,,,,,,,,,,,,,
2026-02-13 12:49:35.652,22,2026-02-13 12:49:35.652,20.7407677,,,,,,,,,,,,,,
2026-02-13 12:49:35.815,23,2026-02-13 12:49:35.815,20.8753224,,,,,,,,,,,,,,
2026-02-13 12:49:35.852,24,2026-02-13 12:49:35.852,20.850993,,,,,,,,,,,,,,
2026-02-13 12:49:35.952,25,2026-02-13 12:49:35.952,20.8712454,,,,,,,,,,,,,,
2026-02-13 12:49:36.052,26,2026-02-13 12:49:36.052,20.7822809,,,,,,,,,,,,,,
2026-02-13 12:49:36.152,27,2026-02-13 12:49:36.152,20.749332,,,,,,,,,,,,,,
2026-02-13 12:49:36.252,28,2026-02-13 12:49:36.252,20.7633506,,,,,,,,,,,,,,
2026-02-13 12:49:36.352,29,2026-02-13 12:49:36.352,20.8567338,,,,,,,,,,,,,,
2026-02-13 12:49:36.452,30,2026-02-13 12:49:36.452,20.8798087,,,,,,,,,,,,,,
2026-02-13 12:49:36.575,31,2026-02-13 12:49:36.575,20.8948196,,,,,,,,,,,,,,
2026-02-13 12:49:36.652,32,2026-02-13 12:49:36.652,20.8570103,,,,,,,,,,,,,,
2026-02-13 12:49:36.752,33,2026-02-13 12:49:36.752,20.8348546,,,,,,,,,,,,,,
2026-02-13 12:49:36.852,34,2026-02-13 12:49:36.852,20.8065002,,,,,,,,,,,,,,
2026-02-13 12:49:37.012,35,2026-02-13 12:49:37.012,20.7768267,,,,,,,,,,,,,,
2026-02-13 12:49:37.052,36,2026-02-13 12:49:37.052,20.7599483,,,,,,,,,,,,,,
2026-02-13 12:49:37.152,37,2026-02-13 12:49:37.152,20.7662531,,,,,,,,,,,,,,
2026-02-13 12:49:37.252,38,2026-02-13 12:49:37.252,20.7514319,,,,,,,,,,,,,,
2026-02-13 12:49:37.352,39,2026-02-13 12:49:37.352,20.7210073,,,,,,,,,,,,,,
2026-02-13 12:49:37.485,40,2026-02-13 12:49:37.485,20.7006193,,,,,,,,,,,,,,
2026-02-13 12:49:37.552,41,2026-02-13 12:49:37.552,20.6896729,,,,,,,,,,,,,,
2026-02-13 12:49:37.652,42,2026-02-13 12:49:37.652,20.698631,,,,,,,,,,,,,,
2026-02-13 12:49:37.752,43,2026-02-13 12:49:37.752,20.6995256,,,,,,,,,,,,,,
2026-02-13 12:49:37.852,44,2026-02-13 12:49:37.852,20.7049324,,,,,,,,,,,,,,
2026-02-13 12:49:37.952,45,2026-02-13 12:49:37.952,20.7240072,,,,,,,,,,,,,,
2026-02-13 12:49:38.052,46,2026-02-13 12:49:38.052,20.6969897,,,,,,,,,,,,,,
2026-02-13 12:49:38.152,47,2026-02-13 12:49:38.152,20.6553883,,,,,,,,,,,,,,
2026-02-13 12:49:38.252,48,2026-02-13 12:49:38.252,20.6019448,,,,,,,,,,,,,,
