Address,USB0::0x2A8D::0x5001::MY58002415::0::INSTR,,,,,,,,,,,,,,,,
Model,DAQ970A,,,,,,,,,,,,,,,,
Serial Number:,MY58002415,,,,,,,,,,,,,,,,
Firmware Version,A.02.01-01.00-02.01-00.02-01.02-03-02,,,,,,,,,,,,,,,,
Start Time,2026-02-27 10:29:15.653,,,,,,,,,,,,,,,,
Stop Time,2026-02-27 10:31:06.717,,,,,,,,,,,,,,,,
Data Log Stopped,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,
Modules,5,Slot 0,SCD,Slot 1,DAQM900A,Slot 2,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,
Total Channels,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm
101,RC_DCV,DC Voltage,Auto,5.5,1,0.0002,False,SCAL,1,0,,Off,0,0,None,1,None
,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:00.100,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,
Calibration Date/Time:,12/4/2019 9:24:37 PM,,,,,,,,,,,,,,,,
Calibration Temperature:,32.70 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,
ACAL Date/Time:,12/4/2019 9:10:47 PM,,,,,,,,,,,,,,,,
ACAL Temperature:,33.16 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,101Time (Sec),101 (Vdc)- RC_DCV,,,,,,,,,,,,,,
2026-02-27 10:29:15.865,1,2026-02-27 10:29:15.865,0.00143267244,,,,,,,,,,,,,,
2026-02-27 10:29:15.960,2,2026-02-27 10:29:15.960,0.00144720213,,,,,,,,,,,,,,
2026-02-27 10:29:16.060,3,2026-02-27 10:29:16.060,0.00146220399,,,,,,,,,,,,,,
2026-02-27 10:29:16.160,4,2026-02-27 10:29:16.160,0.00147759289,,,,,,,,,,,,,,
2026-02-27 10:29:16.260,5,2026-02-27 10:29:16.260,0.00149217623,,,,,,,,,,,,,,
2026-02-27 10:29:16.360,6,2026-02-27 10:29:16.360,0.00150767298,,,,,,,,,,,,,,
2026-02-27 10:29:16.460,7,2026-02-27 10:29:16.460,0.00152310786,,,,,,,,,,,,,,
2026-02-27 10:29:16.560,8,2026-02-27 10:29:16.560,0.00153748783,,,,,,,,,,,,,,
2026-02-27 10:29:16.660,9,2026-02-27 10:29:16.660,0.00155228905,,,,,,,,,,,,,,
2026-02-27 10:29:16.811,10,2026-02-27 10:29:16.811,0.00157440685,,,,,,,,,,,,,,
2026-02-27 10:29:16.860,11,2026-02-27 10:29:16.860,0.00158178556,,,,,,,,,,,,,,
2026-02-27 10:29:16.960,12,2026-02-27 10:29:16.960,0.00159684052,,,,,,,,,,,,,,
2026-02-27 10:29:17.060,13,2026-02-27 10:29:17.060,0.00161142194,,,,,,,,,,,,,,
2026-02-27 10:29:17.160,14,2026-02-27 10:29:17.160,0.00162533576,,,,,,,,,,,,,,
2026-02-27 10:29:17.260,15,2026-02-27 10:29:17.260,0.00164044054,,,,,,,,,,,,,,
2026-02-27 10:29:17.360,16,2026-02-27 10:29:17.360,0.0016545361,,,,,,,,,,,,,,
2026-02-27 10:29:17.460,17,2026-02-27 10:29:17.460,0.00166936388,,,,,,,,,,,,,,
2026-02-27 10:29:17.560,18,2026-02-27 10:29:17.560,0.00168374384,,,,,,,,,,,,,,
2026-02-27 10:29:17.660,19,2026-02-27 10:29:17.660,0.00169831103,,,,,,,,,,,,,,
2026-02-27 10:29:17.760,20,2026-02-27 10:29:17.760,0.00171240797,,,,,,,,,,,,,,
2026-02-27 10:29:17.862,21,2026-02-27 10:29:17.862,0.00172669514,,,,,,,,,,,,,,
2026-02-27 10:29:17.960,22,2026-02-27 10:29:17.960,0.00174142738,,,,,,,,,,,,,,
2026-02-27 10:29:18.060,23,2026-02-27 10:29:18.060,0.00175506583,,,,,,,,,,,,,,
2026-02-27 10:29:18.160,24,2026-02-27 10:29:18.160,0.00176942664,,,,,,,,,,,,,,
2026-02-27 10:29:18.260,25,2026-02-27 10:29:18.260,0.00178354054,,,,,,,,,,,,,,
2026-02-27 10:29:18.360,26,2026-02-27 10:29:18.360,0.00179751212,,,,,,,,,,,,,,
2026-02-27 10:29:18.460,27,2026-02-27 10:29:18.460,0.00181133068,,,,,,,,,,,,,,
2026-02-27 10:29:18.560,28,2026-02-27 10:29:18.560,0.00182575909,,,,,,,,,,,,,,
2026-02-27 10:29:18.660,29,2026-02-27 10:29:18.660,0.00183932856,,,,,,,,,,,,,,
2026-02-27 10:29:18.760,30,2026-02-27 10:29:18.760,0.00185331355,,,,,,,,,,,,,,
2026-02-27 10:29:18.894,31,2026-02-27 10:29:18.894,0.00187190636,,,,,,,,,,,,,,
2026-02-27 10:29:18.960,32,2026-02-27 10:29:18.960,0.00188132813,,,,,,,,,,,,,,
2026-02-27 10:29:19.060,33,2026-02-27 10:29:19.060,0.00189483465,,,,,,,,,,,,,,
2026-02-27 10:29:19.160,34,2026-02-27 10:29:19.160,0.0019085106,,,,,,,,,,,,,,
2026-02-27 10:29:19.330,35,2026-02-27 10:29:19.330,0.00193181745,,,,,,,,,,,,,,
2026-02-27 10:29:19.367,36,2026-02-27 10:29:19.367,0.00193675456,,,,,,,,,,,,,,
2026-02-27 10:29:19.460,37,2026-02-27 10:29:19.460,0.00194934959,,,,,,,,,,,,,,
2026-02-27 10:29:19.560,38,2026-02-27 10:29:19.560,0.00196329598,,,,,,,,,,,,,,
2026-02-27 10:29:19.660,39,2026-02-27 10:29:19.660,0.00197635086,,,,,,,,,,,,,,
2026-02-27 10:29:19.760,40,2026-02-27 10:29:19.760,0.00199046066,,,,,,,,,,,,,,
2026-02-27 10:29:19.880,41,2026-02-27 10:29:19.880,0.00200599025,,,,,,,,,,,,,,
2026-02-27 10:29:19.960,42,2026-02-27 10:29:19.960,0.00201665472,,,,,,,,,,,,,,
2026-02-27 10:29:20.060,43,2026-02-27 10:29:20.060,0.00203013168,,,,,,,,,,,,,,
2026-02-27 10:29:20.160,44,2026-02-27 10:29:20.160,0.00204377916,,,,,,,,,,,,,,
2026-02-27 10:29:20.260,45,2026-02-27 10:29:20.260,0.00205667829,,,,,,,,,,,,,,
2026-02-27 10:29:20.360,46,2026-02-27 10:29:20.360,0.00207001811,,,,,,,,,,,,,,
2026-02-27 10:29:20.460,47,2026-02-27 10:29:20.460,0.0020831302,,,,,,,,,,,,,,
